Name,SD1,SD2,C-1,C-2,C-N-1,C-N-2,N-1,N-2,CS1,CS2,HS1,HS2,OSMO1,OSMO2,OXI1,OXI2,PH1,PH2,UV1,UV2
pdxA,3478.8,3187.385,3814.92,3272.08,3504.975,3133.555,3211.49,3413.67,3761.32,3253.11,2653.965,3097.125,3304.95,3709.23,3227.57,3197.66,4179.06,4194.165,3444.415,2862.3
pdxB,3844.9,4469.36,3424.35,5221.18,5393.25,5172.93,4704.55,4702.51,4661.92,4443.59,4909.33,4602.89,4699.25,5234.15,4626.33,4408.81,4756.43,5150.56,4177.54,4883.76
pdxH,4432.98,7105.12,3170.96,6528.31,7809.76,7820.75,5691.69,6844.72,5122.26,6570.35,6519.68,6662.05,6301.39,5547.16,6612.72,6231.25,8754.13,1263.45,5581.22,6281.06
pdxJ,4162.01,3858.515,4981.185,5069.35,4572.755,5144.95,5393.53,4040.275,4196.6,4962.245,4814.17,4072.265,4479.705,4414.34,4225.09,4557.81,5162.005,1374.225,4118.28,3966.705
pdxK,6702.32,7062.63,5380.36,6738.855,4958.935,5788.68,5665.745,6756.755,6901.44,5724.685,4148.275,3850.515,5488.97,7533.24,5767.745,5755.87,5061.52,4097.775,7135.685,6501.965
pdxY,5475.65,4012.63,2493.25,3808.37,3422.07,4509.45,3094.37,4372.93,5659.9,3678.68,3756.6,4650.01,3091.67,3716.34,3353.98,4421.65,4725.72,4332.79,5149.88,3624.4
peaD,8121.72,9612.71,6104.14,7680.04,8140.65,6905.16,8611.15,8384,8975.55,8817.68,7952.55,9158.53,7885.45,7305.01,7933.55,8184.84,7196.53,6714.6,8852.85,8539.43
pepA,3190.02,2149.515,3215.565,2170.395,1802.125,2229.575,2121.78,2661.855,3164.33,2291.61,2166.755,2343.385,2316.6,2816.17,1965.24,2322.56,2582.02,4056.115,2996.72,2189.875
pepB,2796.555,2783.755,6468.15,2980.995,2272.645,2442.68,2590.185,3283.87,2929.745,2551.1,2611.795,2283.115,2402.95,2811.835,2419.18,2787.92,3059.795,3375.605,2995.885,1791.115
pepD,6210.81,7140.72,4879.665,6097.38,6666.615,6202.655,6086.26,7586.605,6451.465,7092.775,7067.11,6479.215,7836.785,7558.735,6932.575,6597.595,6649.83,6205.24,6465.91,6978.995
pepE,3688.66,5348.48,2897,4860.83,4114.73,4525,4631.93,4454.15,4058.09,4764.54,5387.39,5233.57,3568.46,4089.81,5092.83,4576.19,4588.51,4468.75,4388.06,4608.1
pepN,3515.315,2392.4,2581.615,2920.52,3041.85,2364.495,3108.445,3381.215,3287.04,1973.375,2485.13,2373.78,2367.835,3110.635,2730.125,2048.025,3540.11,4263.06,3094.715,2153.04
pepP,4677.83,4659.99,3497.98,4111.1,4457.79,3364.63,4567.49,4175.6,4754.77,4058.99,3868.77,3679.28,3683.43,4575.92,4042.56,3591.27,8463.74,4535.19,4898.77,4684.12
pepQ,4934.255,5447.225,4292.595,6487.36,6860.325,7081.95,6849.115,7161.13,5856.07,7349.335,7411.05,7293.215,7003.785,7086.54,7460.34,7833.88,6773.87,3419.42,4631.14,5735.385
pepT,4703.955,2567.725,1479.765,3825.685,3880.47,3029.12,3125.03,3869.215,4190.225,2850.06,2815.06,2637.24,3184.52,3617.825,2777.445,2581.335,3730.63,3368.805,4893.915,2899.295
perR,7802.505,9067.92,5878.735,8145.805,10560.135,9632.56,9748.515,8177,8492.535,9728.635,11660.53,10953.77,12732.855,8986.23,9089.735,12174.27,7880.705,7497.115,8332.475,8664.2
pfkA,4853.18,4880.1,3779.15,4324.72,4437.26,4854.9,5889.19,4585.68,5579.71,5222.74,5134.38,5013.3,5132.81,4496.58,5403.13,5139.96,5615.61,2652.89,4555.47,5214.81
pfkB,2492.805,2277.965,5178.265,2150.505,2240.09,2218.765,1753.93,3031.34,2391.56,1693.135,1880.995,1916.87,2063.4,2487.48,1929.64,1793.09,2180.25,2665.845,2990.055,1885.705
pflA,3454.83,3847.1,4706.22,4508.2,2707.31,2390.54,3466.69,4452.54,3109.21,1930.32,2647.89,2239.01,2455.63,3235.39,3013.16,3025.08,4029.79,1114.16,3674.29,2425.51
pflB,2783.74,2195.61,3167.82,2412.93,2238.22,1828.25,2201.85,2525.31,2121.91,3403.19,1790.23,1474.62,1973.89,3309.83,1827.21,1698.06,7459.75,3840.7,2875.96,1962.55
pflC,4098.2,3990.55,3099.5,4426.48,5520.47,5911.58,6120.54,3420.39,4250.73,5862.83,5172.09,5368.88,5995.95,3783.11,6103.09,5967.62,3291.79,3578.64,3516.33,6478.11
pflD,2900.33,2162.725,3179.63,2600.655,2199.965,2356.825,1988.675,2602.055,3302.295,2169.455,2388.345,2475.625,2325.155,2407.375,2560.305,2535.95,2055.21,3507.14,2666.935,2091.78
pgaA,5345.98,6877.255,4007.385,7379.475,6588.55,5584.61,6216.82,5906.875,4985.585,5530.915,5850.535,5800.03,6497.665,6531.86,6463.135,5961.31,5927.71,5041.45,5020.64,5487.415
pgaB,4631.72,5323.97,4863.715,6038.385,5715.805,6722.31,5179.575,5399.06,4596.18,5809.195,5650.505,5269.305,6354.445,5665.66,5552.61,5985.24,5621.955,5290.65,4724.88,6250.715
